id,en,zh,count
P4353,nominated by,提名者,230
P681,cell component,细胞组件,899727
P425,field of this occupation,专业领域,5765
P6364,official color,官方颜色,3090
P1789,chief operating officer,首席运营官,68
P1049,worshipped by,受其崇拜,2380
P831,parent club,附属俱乐部,4473
P1881,list of characters,角色列表,878
P2175,medical condition treated,用于治疗,6992
P3512,means of locomotion,移动方式,103
P8701,has census,人口普查,596
P2353,statistical unit,統計單位,25
P1571,codomain,到达域,76
P972,catalog,目录,69086
P688,encodes,生物编码,973826
P1898,lowest note,最低音,9
P1592,prosecutor,檢察官,426
P5051,towards,行車方向,64
P200,inflows,流入源,14887
P1924,vaccine for,疫苗用於,203
P2308,class,类,4
P1706,together with,连同,72
P1318,proved by,证明者,125
P2551,used metre,格律,344
P2578,studies,研究對象,1954
P812,academic major,高校专业,2838
P4446,reward program,忠诚计划,275
P1532,country for sport,体育代表国,201826
P5826,majority opinion by,代表主要意见者,3364
P1809,choreographer,编舞,4208
P522,type of orbit,轨道类型,1169
P344,director of photography,摄影指导,91536
P500,exclave of,飞地从属于,130
P489,currency symbol description,货币符号,186
P2396,image of function,值域,47
P1454,legal form,法律形式,197130
P467,legislated by,立法者,46724
P7137,acknowledged,致谢,858
P264,record label,唱片公司,338731
P5102,nature of statement,陳述環境,29
P8625,bibliography,文献资料,70
P736,cover art by,封面艺术家,6718
P9071,character type,角色類型,3186
P770,cause of destruction,衰亡原因,1380
P1393,proxy,代理人,49
P6338,colorist,上色师,1312
P4743,animal breed,品種,8622
P1313,office held by head of government,政府首脑职位,62785
P1026,academic thesis,學位論文,11022
P7261,use restriction status,使用限制状态,415440
P6149,running mate,競選搭檔,2
P5023,activity policy in this place,此地點的活動方針,130
P8791,digitised by,電子化,2705
P1194,received signal type,接收訊號,3
P783,hymenium type,子实层类型,985
P658,tracklist,曲目,33907
P991,successful candidate,当选者,23167
P2238,official symbol,官方標記,1419
P8324,funder,財務贊助者,1904
P1780,school of,所属学派,19
P1340,eye color,眼睛顏色,10047
P1876,vehicle,载具,846
P3816,film script,剧本,28
P2378,issued by,發行者,1797
P608,exhibition history,展覽歷史,26633
P7374,educational stage,教育阶段,81
P414,stock exchange,证券交易所,13231
P518,applies to part,適用部分,203
P3716,social classification,社會階層,11947
P7767,serving temperature,食物存放温度,29
P412,voice type,聲部,34254
P707,satellite bus,衛星平台,113
P505,general manager,总经理,1482
P1001,applies to jurisdiction,管辖区,938663
P6886,writing language,书写语言,162201
P1574,exemplar of,原本包含,1740
P2515,costume designer,服裝設計,12686
P2647,source of material,材料来源,147
P611,religious order,宗教團,33053
P2541,operating area,業務區,17829
P3294,encoding,编码,2
P54,member of sports team,所屬運動隊,1546197
P479,input method,输入设备,15149
P6885,historical region,历史地区,15038
P110,illustrator,插画家,14607
P541,office contested,競逐之職位,42849
P1576,lifestyle,生活方式,1288
P609,terminus location,起止地点,33591
P1558,tempo marking,拍速标记,133
P543,oath made by,宣誓者,90
P504,home port,母港,5863
P4908,season,電視劇季,63882
P1199,mode of inheritance,遺傳模式,85
P6166,quotes work,引用原文出处,410
P1906,office held by head of state,國家元首職位,563
P945,allegiance,效忠对象,60876
P4647,location of first performance,首演地点,18266
P1399,convicted of,所犯罪名,10528
P114,airline alliance,航空聯盟,278
P5913,has inflection class,词形变化,8
P2501,results,賽果,84
P735,given name,名字,6673611
P126,maintained by,维护者,528563
P1408,licensed to broadcast to,廣播地區,16665
P5137,item for this sense,该义项的项目,115540
P5009,complies with,符合標準,163
P533,target,攻击目标,1496
P8536,raga,拉格,14
P2291,charted in,上榜,1601
P1383,contains settlement,包含聚落,32821
P682,biological process,生物途径,1194167
P5817,state of use,使用狀態,62593
P3005,valid in place,有效地點,173
P655,translator,译者,18384
P912,has facility,擁有設施,16547
P3967,final event,决赛,1860
P1192,connecting service,所屬路線,41150
P8031,perpetrator,加害人,818
P4379,youth wing,青年翼,205
P2360,intended public,受眾,7870
P2839,gait,儀態,17
P57,director,导演,332848
P7604,supervised by,監察人,77
P2408,set in period,時代背景,7382
P560,direction,方向,36
P6241,collection creator,建立者,6094
P1596,penalty,刑罰,1918
P5804,has program committee member,有程序委员会成员,617
P4387,update method,更新方法,119
P6106,uses capitalization for,使用大写,38
P1027,conferred by,颁发者,15110
P941,inspired by,启发自,5758
P1877,after a work by,原著作者,12339
P4969,derivative work,衍生作品,19804
P6718,music video,音樂影片,324
P92,main regulatory text,主要規管文獻,9320
P520,armament,武器,5520
P5028,sound designer,音效设计师,3237
P925,presynaptic connection,突触,6
P205,basin country,流域国,17703
P943,programmer,程序员,388
P8744,economy of topic,話題的經濟,1377
P7727,legislative committee,议会委员会,124889
P1028,donated by,捐贈者,9673
P3452,inferred from,推断依据,2
P447,review score by,评分者,14
P7086,start grade,開始年級,3730
P6224,level of description,著录级次,628069
P2596,culture,文化,10030
P1478,has immediate cause,直接原因,125023
P1018,language regulatory body,語言管理機構,208
P485,archives at,存檔于,75475
P6855,emergency services,是否提供急診,766
P3301,broadcast by,广播业者,7431
P1568,definition domain,定義域,125
P2964,right to vote,投票權人,68
